epoch,report,confusion_matrix,accuracy,balanced_accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,ECE,Brier,NLL,Entropy,Epistemic,Aleatoric,train_loss,train_ce_loss,train_parcel_loss,test_loss,learning_rate,time
0,"              precision    recall  f1-score   support

     class 0   0.748075  0.821256  0.782959       828
     class 1   0.451890  0.894558  0.600457       294
     class 2   0.935129  0.644182  0.762856      1186

    accuracy                       0.739601      2308
   macro avg   0.711698  0.786665  0.715424      2308
weighted avg   0.806466  0.739601  0.749381      2308
","[[680 107  41]
 [ 19 263  12]
 [210 212 764]]",0.7396013864818024,0.7866653288552673,0.5960830973209611,0.7396013864818024,0.7154238207859883,0.7493809712721995,0.7396013864818024,0.7866653288552673,0.7396013864818024,0.7396013864818024,0.7116977869389526,0.8064662193231215,0.19695720364947242,0.44410568983516047,0.7845880401269496,0.9465677484968746,0.0,0.9465677484968746,0.7513609278846431,0.7513609278846431,0.0,0.58036083,0.00011999999999999999,0.01125716765721639
1,"              precision    recall  f1-score   support

     class 0   0.840300  0.946860  0.890403       828
     class 1   0.675258  0.891156  0.768328       294
     class 2   0.958460  0.797639  0.870686      1186

    accuracy                       0.863085      2308
   macro avg   0.824673  0.878552  0.843139      2308
weighted avg   0.879995  0.863085  0.864721      2308
","[[784  14  30]
 [ 21 262  11]
 [128 112 946]]",0.8630849220103987,0.8785518296898478,0.7769424953955824,0.8630849220103987,0.8431391045827045,0.8647208067825642,0.8630849220103987,0.8785518296898478,0.8630849220103987,0.8630849220103987,0.8246726062921582,0.8799947131323378,0.08972565977446025,0.2095011373426019,0.4129963025889848,0.5771912549100242,0.0,0.5771912549100242,0.4081731738673674,0.4081731738673674,0.0,0.13698313,0.00017999999999999998,0.022614415486653647
2,"              precision    recall  f1-score   support

     class 0   0.902273  0.958937  0.929742       828
     class 1   0.754098  0.938776  0.836364       294
     class 2   0.967043  0.865936  0.913701      1186

    accuracy                       0.908579      2308
   macro avg   0.874471  0.921216  0.893269      2308
weighted avg   0.916681  0.908579  0.909604      2308
","[[ 794    8   26]
 [   9  276    9]
 [  77   82 1027]]",0.908578856152513,0.9212162091091213,0.8492804900392685,0.908578856152513,0.8932690309126924,0.909604451115837,0.908578856152513,0.9212162091091213,0.908578856152513,0.908578856152513,0.8744714674764689,0.9166811556380944,0.044672331938443624,0.1378539050759372,0.27221918888811575,0.3740142925331316,0.0,0.3740142925331316,0.23982727839737325,0.23982727839737325,0.0,0.056772996,0.00023999999999999998,0.03458139896392822
3,"              precision    recall  f1-score   support

     class 0   0.922902  0.983092  0.952047       828
     class 1   0.831361  0.955782  0.889241       294
     class 2   0.983456  0.902192  0.941073      1186

    accuracy                       0.938042      2308
   macro avg   0.912573  0.947022  0.927453      2308
weighted avg   0.942358  0.938042  0.938407      2308
","[[ 814    5    9]
 [   4  281    9]
 [  64   52 1070]]",0.9380415944540728,0.9470221143992786,0.8970808537283571,0.9380415944540728,0.9274534296917792,0.9384072888473868,0.9380415944540728,0.9470221143992786,0.9380415944540728,0.9380415944540728,0.9125731078098563,0.9423579116637374,0.029298157987356285,0.09671143319145589,0.19530273953172894,0.2707803558389523,0.0,0.2707803558389523,0.1785841820811903,0.1785841820811903,0.0,0.03287678,0.0003,0.045709911982218424
4,"              precision    recall  f1-score   support

     class 0   0.940503  0.992754  0.965922       828
     class 1   0.865443  0.962585  0.911433       294
     class 2   0.990967  0.924958  0.956825      1186

    accuracy                       0.954073      2308
   macro avg   0.932304  0.960099  0.944727      2308
weighted avg   0.956873  0.954073  0.954307      2308
","[[ 822    5    1]
 [   2  283    9]
 [  50   39 1097]]",0.9540727902946274,0.9600988328953304,0.9234075272560605,0.9540727902946274,0.9447269121387579,0.9543066415416086,0.9540727902946274,0.9600988328953304,0.9540727902946274,0.9540727902946274,0.9323044779677206,0.9568732966239176,0.021800867919508263,0.07067168739618948,0.1446823062377162,0.20607731778431315,0.0,0.20607731778431315,0.14432652153678843,0.14432652153678843,0.0,0.022947056,0.0003,0.05679429769515991
5,"              precision    recall  f1-score   support

     class 0   0.950404  0.995169  0.972271       828
     class 1   0.881620  0.962585  0.920325       294
     class 2   0.991071  0.935919  0.962706      1186

    accuracy                       0.960572      2308
   macro avg   0.941032  0.964558  0.951768      2308
weighted avg   0.962540  0.960572  0.960739      2308
","[[ 824    3    1]
 [   2  283    9]
 [  41   35 1110]]",0.9605719237435009,0.9645577239294836,0.9340839232035714,0.9605719237435009,0.9517675246904208,0.9607390013888741,0.9605719237435009,0.9645577239294836,0.9605719237435009,0.9605719237435009,0.9410316857180842,0.9625395286062916,0.01405827433679276,0.06021230794294796,0.12122423431662253,0.16475610651398068,0.0,0.16475610651398068,0.1272770120082675,0.1272770120082675,0.0,0.01768314,0.0002996528771620249,0.06822718381881714
6,"              precision    recall  f1-score   support

     class 0   0.952765  0.998792  0.975236       828
     class 1   0.889937  0.962585  0.924837       294
     class 2   0.991087  0.937605  0.963605      1186

    accuracy                       0.962738      2308
   macro avg   0.944596  0.966328  0.954559      2308
weighted avg   0.964454  0.962738  0.962839      2308
","[[ 827    0    1]
 [   2  283    9]
 [  39   35 1112]]",0.962738301559792,0.966327566945019,0.9376603341231216,0.962738301559792,0.9545591010167006,0.9628390810611541,0.962738301559792,0.966327566945019,0.962738301559792,0.962738301559792,0.9445964759684283,0.9644542895898817,0.014530024210063733,0.054576020736843776,0.10833999649487336,0.1391734205762938,0.0,0.1391734205762938,0.11596065452574073,0.11596065452574073,0.0,0.014811182,0.00029861319979567375,0.08055903116861979
7,"              precision    recall  f1-score   support

     class 0   0.959160  0.992754  0.975668       828
     class 1   0.860119  0.982993  0.917460       294
     class 2   0.993722  0.934233  0.963060      1186

    accuracy                       0.961438      2308
   macro avg   0.937667  0.969993  0.952063      2308
weighted avg   0.964304  0.961438  0.961774      2308
","[[ 822    4    2]
 [   0  289    5]
 [  35   43 1108]]",0.9614384748700173,0.9699931784919164,0.9357303007984121,0.9614384748700173,0.9520625041924644,0.9617741620323536,0.9614384748700173,0.9699931784919164,0.9614384748700173,0.9614384748700173,0.9376669602299602,0.964303996598944,0.012913437850873115,0.05708385199677347,0.11425505668849555,0.1462275601892273,0.0,0.1462275601892273,0.10843732837285544,0.10843732837285544,0.0,0.019034324,0.00029688603310456727,0.0919862707455953
8,"              precision    recall  f1-score   support

     class 0   0.957077  0.996377  0.976331       828
     class 1   0.873494  0.986395  0.926518       294
     class 2   0.995512  0.935076  0.964348      1186

    accuracy                       0.963605      2308
   macro avg   0.942027  0.972616  0.955732      2308
weighted avg   0.966180  0.963605  0.963828      2308
","[[ 825    2    1]
 [   0  290    4]
 [  37   40 1109]]",0.9636048526863085,0.9726157515820563,0.9393071944040602,0.9636048526863085,0.9557322529728954,0.9638280133176869,0.9636048526863085,0.9726157515820563,0.9636048526863085,0.9636048526863085,0.9420274038959304,0.966180011214403,0.013175207439444761,0.05500856323926733,0.1095594213968351,0.1296477556074567,0.0,0.1296477556074567,0.0978993144440087,0.0978993144440087,0.0,0.015661795,0.0002944797916712104,0.10310532649358113
9,"              precision    recall  f1-score   support

     class 0   0.971698  0.995169  0.983294       828
     class 1   0.866071  0.989796  0.923810       294
     class 2   0.996441  0.944351  0.969697      1186

    accuracy                       0.968371      2308
   macro avg   0.944737  0.976439  0.958933      2308
weighted avg   0.970958  0.968371  0.968729      2308
","[[ 824    3    1]
 [   0  291    3]
 [  24   42 1120]]",0.9683708838821491,0.9764385864487464,0.9472312075147391,0.9683708838821491,0.9589333498641374,0.9687294932841192,0.9683708838821491,0.9764385864487464,0.9683708838821491,0.9683708838821491,0.9447369409725885,0.9709577110773198,0.009705049260015294,0.04992913023529322,0.10131135788627085,0.12785327812415695,0.0,0.12785327812415695,0.09541324553759517,0.09541324553759517,0.0,0.018834567,0.0002914061984619919,0.11622184117635091
