direction,model,seed,method,selected_d0,parcels,support,macro_f1,brier,nll,accuracy,mean_effective_pixels
2021_2022_to_2025_2026,STSMamba,2025,M0_equal,0.0,455,all target parcels,0.6088254197109177,0.4586872703235904,1.0279019486797483,0.6835164835164835,30.53846153846154
2021_2022_to_2025_2026,STSMamba,2025,M2_source_frozen_one_se,0.5,455,all target parcels,0.609978099338608,0.4621502487569827,1.054563670695687,0.6857142857142857,27.255108107730358
