epoch,report,confusion_matrix,accuracy,balanced_accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,ECE,Brier,NLL,Entropy,Epistemic,Aleatoric,train_loss,train_ce_loss,train_parcel_loss,test_loss,learning_rate,time
0,"              precision    recall  f1-score   support

     class 0   0.866598  0.906926  0.886304       924
     class 1   0.795139  0.914172  0.850511       501
     class 2   0.894142  0.797434  0.843023      1091

    accuracy                       0.860890      2516
   macro avg   0.851959  0.872844  0.859946      2516
weighted avg   0.864312  0.860890  0.860409      2516
","[[838  13  73]
 [ 13 458  30]
 [116 105 870]]",0.8608903020667726,0.8728438702724777,0.7845167740942474,0.8608903020667726,0.859945825573857,0.860408861485918,0.8608903020667726,0.8728438702724777,0.8608903020667726,0.8608903020667726,0.8519594810683192,0.8643122484221449,0.09545542249286591,0.22867406884146088,0.4518099560048411,0.6006616472738311,0.0,0.6006616472738311,0.6606508669180747,0.6606508669180747,0.0,0.23399921,0.00011999999999999999,0.017737758159637452
1,"              precision    recall  f1-score   support

     class 0   0.924607  0.955628  0.939862       924
     class 1   0.885609  0.958084  0.920422       501
     class 2   0.949951  0.887259  0.917536      1091

    accuracy                       0.926471      2516
   macro avg   0.920056  0.933657  0.925940      2516
weighted avg   0.927831  0.926471  0.926310      2516
","[[883   3  38]
 [  8 480  13]
 [ 64  59 968]]",0.9264705882352942,0.9336569776711491,0.8854834404173633,0.9264705882352942,0.925939677856228,0.926309529510457,0.9264705882352942,0.9336569776711491,0.9264705882352942,0.9264705882352942,0.9200557060726827,0.9278313500794396,0.013815185879445904,0.11668009637536224,0.2344868544476188,0.25644395793404007,0.0,0.25644395793404007,0.2297326321594226,0.2297326321594226,0.0,0.07080614,0.00017999999999999998,0.035608673095703126
2,"              precision    recall  f1-score   support

     class 0   0.953340  0.972944  0.963042       924
     class 1   0.944123  0.978044  0.960784       501
     class 2   0.970588  0.937672  0.953846      1091

    accuracy                       0.958665      2516
   macro avg   0.956017  0.962886  0.959224      2516
weighted avg   0.958984  0.958665  0.958605      2516
","[[ 899    0   25]
 [   5  490    6]
 [  39   29 1023]]",0.958664546899841,0.9628864985992162,0.9353755046627666,0.958664546899841,0.9592242604813891,0.958605005183162,0.958664546899841,0.9628864985992162,0.958664546899841,0.958664546899841,0.9560173174429584,0.9589841325104481,0.01564060750655994,0.06702374594846487,0.13852168557577302,0.15675805510834856,0.0,0.15675805510834856,0.14759485977582443,0.14759485977582443,0.0,0.03349392,0.00023999999999999998,0.05325583219528198
3,"              precision    recall  f1-score   support

     class 0   0.967356  0.962121  0.964731       924
     class 1   0.968191  0.972056  0.970120       501
     class 2   0.961609  0.964253  0.962929      1091

    accuracy                       0.965024      2516
   macro avg   0.965718  0.966143  0.965927      2516
weighted avg   0.965030  0.965024  0.965023      2516
","[[ 889    2   33]
 [   5  487    9]
 [  25   14 1052]]",0.9650238473767886,0.9661433597543961,0.9451355121231517,0.9650238473767886,0.965926666622179,0.9650227803759274,0.9650238473767886,0.9661433597543961,0.9650238473767886,0.9650238473767886,0.9657184838510148,0.965030036197366,0.008700346602506962,0.05349825573200054,0.10877867097008234,0.12363127368705043,0.0,0.12363127368705043,0.11994819682186995,0.11994819682186995,0.0,0.05610125,0.0003,0.07114374240239461
4,"              precision    recall  f1-score   support

     class 0   0.956568  0.977273  0.966809       924
     class 1   0.960861  0.980040  0.970356       501
     class 2   0.975495  0.948671  0.961896      1091

    accuracy                       0.965421      2516
   macro avg   0.964308  0.968661  0.966354      2516
weighted avg   0.965630  0.965421  0.965385      2516
","[[ 903    1   20]
 [   4  491    6]
 [  37   19 1035]]",0.9654213036565977,0.9686611971734669,0.9458782654104229,0.9654213036565977,0.9663536879491691,0.9653849625545184,0.9654213036565977,0.9686611971734669,0.9654213036565977,0.9654213036565977,0.9643078898575862,0.9656299197085118,0.007170986782613609,0.057451611683398136,0.118163656407965,0.11111041258412224,0.0,0.11111041258412224,0.11363516470942742,0.11363516470942742,0.0,0.03274272,0.0003,0.08914339145024618
5,"              precision    recall  f1-score   support

     class 0   0.953537  0.977273  0.965259       924
     class 1   0.944338  0.982036  0.962818       501
     class 2   0.980916  0.942255  0.961197      1091

    accuracy                       0.963037      2516
   macro avg   0.959597  0.967188  0.963091      2516
weighted avg   0.963578  0.963037  0.963012      2516
","[[ 903    5   16]
 [   5  492    4]
 [  39   24 1028]]",0.9630365659777425,0.9671878225051439,0.9422371513654332,0.9630365659777425,0.963091348175629,0.9630115542865565,0.9630365659777425,0.9671878225051439,0.9630365659777425,0.9630365659777425,0.9595971097449886,0.963577611636949,0.013123375817861839,0.0607298204747942,0.12426412668700562,0.10211485514981568,0.0,0.10211485514981568,0.1019231157663923,0.1019231157663923,0.0,0.03936493,0.0002996528771620249,0.10701460043589274
6,"              precision    recall  f1-score   support

     class 0   0.969231  0.954545  0.961832       924
     class 1   0.951550  0.980040  0.965585       501
     class 2   0.961468  0.960587  0.961027      1091

    accuracy                       0.962242      2516
   macro avg   0.960750  0.965057  0.962815      2516
weighted avg   0.962344  0.962242  0.962230      2516
","[[ 882    8   34]
 [   2  491    8]
 [  26   17 1048]]",0.962241653418124,0.9650573308289956,0.9408616649883341,0.962241653418124,0.9628147223201425,0.9622303060603268,0.962241653418124,0.9650573308289956,0.962241653418124,0.962241653418124,0.9607496822453084,0.9623439756936351,0.009027212097272164,0.05640491259896979,0.11317669440679891,0.1020867230233842,0.0,0.1020867230233842,0.09393809566226526,0.09393809566226526,0.0,0.06840166,0.00029861319979567375,0.12590234676996867
7,"              precision    recall  f1-score   support

     class 0   0.964440  0.968615  0.966523       924
     class 1   0.962598  0.976048  0.969277       501
     class 2   0.971296  0.961503  0.966375      1091

    accuracy                       0.967011      2516
   macro avg   0.966111  0.968722  0.967391      2516
weighted avg   0.967046  0.967011  0.967007      2516
","[[ 895    7   22]
 [   3  489    9]
 [  30   12 1049]]",0.9670111287758346,0.96872194362411,0.9483098498117325,0.9670111287758346,0.9673913773353383,0.9670069749749853,0.9670111287758346,0.96872194362411,0.9670111287758346,0.9670111287758346,0.9661114588885201,0.9670462288005531,0.009285906234717804,0.05562782269525492,0.11255904358495511,0.0961379693341054,0.0,0.0961379693341054,0.08812750842517768,0.08812750842517768,0.0,0.06058186,0.00029688603310456727,0.1442577560742696
8,"              precision    recall  f1-score   support

     class 0   0.962162  0.963203  0.962683       924
     class 1   0.893309  0.986028  0.937381       501
     class 2   0.982659  0.934922  0.958196      1091

    accuracy                       0.955485      2516
   macro avg   0.946043  0.961384  0.952753      2516
weighted avg   0.957340  0.955485  0.955699      2516
","[[ 890   20   14]
 [   3  494    4]
 [  32   39 1020]]",0.9554848966613673,0.9613844990470292,0.9306962908674153,0.9554848966613673,0.9527534238601966,0.9556991037909686,0.9554848966613673,0.9613844990470292,0.9554848966613673,0.9554848966613673,0.9460434480409603,0.9573396991762025,0.016866867833453772,0.07234186360741907,0.14921035866123197,0.10319836965914805,0.0,0.10319836965914805,0.08593543315640627,0.08593543315640627,0.0,0.055867907,0.0002944797916712104,0.16252443393071492
9,"              precision    recall  f1-score   support

     class 0   0.954158  0.968615  0.961332       924
     class 1   0.966469  0.978044  0.972222       501
     class 2   0.973856  0.956004  0.964847      1091

    accuracy                       0.965024      2516
   macro avg   0.964828  0.967554  0.966134      2516
weighted avg   0.965151  0.965024  0.965025      2516
","[[ 895    8   21]
 [   4  490    7]
 [  39    9 1043]]",0.9650238473767886,0.9675540990505013,0.9452106320197888,0.9650238473767886,0.966133828985338,0.9650248345232851,0.9650238473767886,0.9675540990505013,0.9650238473767886,0.9650238473767886,0.9648278065580693,0.9651510725992589,0.00956693515797982,0.05889246210234361,0.12110322433617077,0.10269549096795891,0.0,0.10269549096795891,0.07987641741354497,0.07987641741354497,0.0,0.05097476,0.0002914061984619919,0.18011802037556965
10,"              precision    recall  f1-score   support

     class 0   0.956989  0.963203  0.960086       924
     class 1   0.937023  0.980040  0.958049       501
     class 2   0.972693  0.946838  0.959591      1091

    accuracy                       0.959459      2516
   macro avg   0.955568  0.963360  0.959242      2516
weighted avg   0.959823  0.959459  0.959466      2516
","[[ 890   11   23]
 [   4  491    6]
 [  36   22 1033]]",0.9594594594594594,0.9633603822942834,0.9366304753109436,0.9594594594594594,0.9592421161260241,0.9594659195193509,0.9594594594594594,0.9633603822942834,0.9594594594594594,0.9594594594594594,0.9555683933634175,0.9598229871728969,0.01854447453909418,0.06568882696967217,0.13706070009519872,0.08414595655578264,0.0,0.08414595655578264,0.07798182302847123,0.07798182302847123,0.0,0.084235914,0.0002876802277140706,0.19755961894989013
11,"              precision    recall  f1-score   support

     class 0   0.962406  0.969697  0.966038       924
     class 1   0.968379  0.978044  0.973188       501
     class 2   0.971270  0.960587  0.965899      1091

    accuracy                       0.967409      2516
   macro avg   0.967352  0.969442  0.968375      2516
weighted avg   0.967439  0.967409  0.967401      2516
","[[ 896    5   23]
 [   3  490    8]
 [  32   11 1048]]",0.9674085850556439,0.9694424998848233,0.9489240383956,0.9674085850556439,0.9683746798524003,0.9674011488132376,0.9674085850556439,0.9694424998848233,0.9674085850556439,0.9674085850556439,0.9673517186130569,0.9674389892652903,0.013837863376877937,0.05189276273830988,0.10715953080207738,0.07453603579663182,0.0,0.07453603579663182,0.07419672133162236,0.07419672133162236,0.0,0.05553396,0.0002833200319823971,0.21561336517333984
12,"              precision    recall  f1-score   support

     class 0   0.959096  0.964286  0.961684       924
     class 1   0.938931  0.982036  0.960000       501
     class 2   0.975541  0.950504  0.962860      1091

    accuracy                       0.961844      2516
   macro avg   0.957856  0.965609  0.961515      2516
weighted avg   0.962212  0.961844  0.961858      2516
","[[ 891   13   20]
 [   3  492    6]
 [  35   19 1037]]",0.9618441971383148,0.9656085890285685,0.9403556348609975,0.9618441971383148,0.961514517266704,0.9618584371025541,0.9618441971383148,0.9656085890285685,0.9618441971383148,0.9618441971383148,0.9578560071888628,0.9622115448953573,0.019746075491768107,0.06252654903504798,0.13003688947619413,0.07385017864336396,0.0,0.07385017864336396,0.07064150947217758,0.07064150947217758,0.0,0.057331212,0.00027834685370229067,0.2336677034695943
13,"              precision    recall  f1-score   support

     class 0   0.962203  0.964286  0.963243       924
     class 1   0.957115  0.980040  0.968442       501
     class 2   0.971216  0.958753  0.964945      1091

    accuracy                       0.965024      2516
   macro avg   0.963511  0.967693  0.965543      2516
weighted avg   0.965098  0.965024  0.965016      2516
","[[ 891    8   25]
 [   4  491    6]
 [  31   14 1046]]",0.9650238473767886,0.9676930238863202,0.9452314493698628,0.9650238473767886,0.9655432357617996,0.9650161837898682,0.9650238473767886,0.9676930238863202,0.9650238473767886,0.9650238473767886,0.9635114583981891,0.9650982681316308,0.0162075050739354,0.05726984404504358,0.12160056986484413,0.06931083964756816,0.0,0.06931083964756816,0.0706972451402973,0.0706972451402973,0.0,0.0616989,0.00027278492169842996,0.25117241541544594
14,"              precision    recall  f1-score   support

     class 0   0.953537  0.977273  0.965259       924
     class 1   0.956947  0.976048  0.966403       501
     class 2   0.977316  0.947754  0.962308      1091

    accuracy                       0.964229      2516
   macro avg   0.962600  0.967025  0.964657      2516
weighted avg   0.964527  0.964229  0.964207      2516
","[[ 903    5   16]
 [   4  489    8]
 [  40   17 1034]]",0.9642289348171701,0.9670249950893979,0.9440189332892288,0.9642289348171701,0.9646568106599651,0.9642073076282818,0.9642289348171701,0.9670249950893979,0.9642289348171701,0.9642289348171701,0.9626001130693776,0.964527259121105,0.015752834414118573,0.05921070727113654,0.12180932522069796,0.07481878984305783,0.0,0.07481878984305783,0.06691034302975123,0.06691034302975123,0.0,0.034893084,0.0002666613331444543,0.27017515103022255
15,"              precision    recall  f1-score   support

     class 0   0.970982  0.941558  0.956044       924
     class 1   0.957031  0.978044  0.967423       501
     class 2   0.951264  0.966086  0.958618      1091

    accuracy                       0.959459      2516
   macro avg   0.959759  0.961896  0.960695      2516
weighted avg   0.959654  0.959459  0.959426      2516
","[[ 870   10   44]
 [   1  490   10]
 [  25   12 1054]]",0.9594594594594594,0.9618961710735999,0.9364302112552552,0.9594594594594594,0.9606950013493059,0.9594258890939164,0.9594594594594594,0.9618961710735999,0.9594594594594594,0.9594594594594594,0.9597589769210932,0.9596536868464213,0.01890691961939315,0.06514521681874172,0.13407067519523735,0.07437354670230431,0.0,0.07437354670230431,0.06460666371127352,0.06460666371127352,0.0,0.13130926,0.00026000592154825774,0.2882531483968099
