scheme,training_scheme,w_ring0,w_ring1,w_ring2,total_parcels,valid_parcels,dropped_parcels,coverage,accuracy,macro_f1,macro_precision,macro_recall,balanced_accuracy,kappa,mean_confidence,mean_entropy,mean_effective_pixels
A5_hard_1px,T0_standard,0.0,1.0,1.0,138,105,33,0.7608695652173914,0.9047619047619048,0.8995281649245065,0.9195338512763596,0.8907840951319214,0.8907840951319214,0.8463789319678128,0.8737481572103131,0.394280757628269,21.64761904761905
A1_boundary_075,T0_standard,0.75,1.0,1.0,138,138,0,1.0,0.8840579710144928,0.8799792277614858,0.8961218056962738,0.875749700119952,0.875749700119952,0.8199902168596119,0.8077615343100989,0.5340926424885617,34.63895034597867
A2_boundary_050,T0_standard,0.5,1.0,1.0,138,138,0,1.0,0.8840579710144928,0.8799792277614858,0.8961218056962738,0.875749700119952,0.875749700119952,0.8199902168596119,0.8128773861361102,0.5242890342596975,32.26063835629089
A6_boundary_0625,T0_standard,0.625,1.0,1.0,138,138,0,1.0,0.8840579710144928,0.8799792277614858,0.8961218056962738,0.875749700119952,0.875749700119952,0.8199902168596119,0.8100606656384686,0.5297555742025306,33.74529389362731
A4_gradual_050_075_100,T0_standard,0.5,0.75,1.0,138,138,0,1.0,0.8840579710144928,0.8799792277614858,0.8961218056962738,0.875749700119952,0.875749700119952,0.8199902168596119,0.8102748862837381,0.529163511221962,33.173098961873855
A0_standard,T0_standard,1.0,1.0,1.0,138,138,0,1.0,0.8768115942028986,0.8735583949940623,0.8895289298515104,0.8702852192456351,0.8702852192456351,0.8090509523034348,0.804347179388381,0.5406086252162773,35.21739130434783
A3_boundary_025,T0_standard,0.25,1.0,1.0,138,138,0,1.0,0.8768115942028986,0.8704566680282518,0.8897707231040565,0.8664904408606927,0.8664904408606927,0.8086616099828725,0.8213408094846969,0.5068919055961046,26.870916718672337
