d0,mean_brier,se_brier,n
0.5,0.18126369390300515,0.016154758325308605,455
0.75,0.17989125853856658,0.01638982885333038,455
1.0,0.1784789098399683,0.016490740259231106,455
1.5,0.17705183750764472,0.01657698607727364,455
2.0,0.17662678237637985,0.016610379068226887,455
3.0,0.17645214809467238,0.016622606175449302,455
4.0,0.17640068826539412,0.016620239577220856,455
5.0,0.1763963424261211,0.016619632817809753,455
6.0,0.17639628535381455,0.016619634061076773,455
8.0,0.17639628535381455,0.01661963406107677,455
10.0,0.17639628535381455,0.01661963406107677,455
12.0,0.17639628535381455,0.016619634061076773,455
