scheme,training_scheme,w_ring0,w_ring1,w_ring2,total_parcels,valid_parcels,dropped_parcels,coverage,accuracy,macro_f1,macro_precision,macro_recall,balanced_accuracy,kappa,mean_confidence,mean_entropy,mean_effective_pixels
A0_standard,T0_standard,1.0,1.0,1.0,231,231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9634897063732263,0.1294989042388796,20.07792207792208
A1_boundary_075,T0_standard,0.75,1.0,1.0,231,231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9647537734214157,0.12588639366592605,19.760916843887312
A2_boundary_050,T0_standard,0.5,1.0,1.0,231,231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666234469945547,0.12032331566830516,18.295575626753383
A6_boundary_0625,T0_standard,0.625,1.0,1.0,231,231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655867119924336,0.12344120574835236,19.232752826885445
A3_boundary_025,T0_standard,0.25,1.0,1.0,231,231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9697762149956431,0.11028732546858866,14.586162099147543
A4_gradual_050_075_100,T0_standard,0.5,0.75,1.0,231,231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.965530546032497,0.12357920058370583,19.197160557644153
A5_hard_1px,T0_standard,0.0,1.0,1.0,231,152,79,0.658008658008658,1.0,1.0,1.0,1.0,1.0,1.0,0.9876652127265151,0.05461150886547467,9.30921052631579
