d0,mean_brier,se_brier,n
0.5,0.029643084674203183,0.006059053094390797,791
0.75,0.028986544751469362,0.006088111876495453,791
1.0,0.028604542443375673,0.006097825841030786,791
1.5,0.028368290467398773,0.0061011664348074235,791
2.0,0.028329731752873386,0.006103031731406153,791
3.0,0.028340774498044,0.006105063223732509,791
4.0,0.02833824213315671,0.006105086555810121,791
5.0,0.028338101623616264,0.0061050862443675575,791
6.0,0.028338101623616264,0.006105086244367557,791
8.0,0.028338101623616264,0.006105086244367557,791
10.0,0.028338101623616264,0.0061050862443675575,791
12.0,0.028338101623616264,0.006105086244367557,791
