direction,model,seed,method,selected_d0,parcels,support,macro_f1,brier,nll,accuracy,mean_effective_pixels
2021_2022_to_2025_2026,TempCNN,2026,M0_equal,0.0,455,all target parcels,0.75365030934825,0.31172238160221877,0.5602375648774017,0.778021978021978,30.53846153846154
2021_2022_to_2025_2026,TempCNN,2026,M2_source_frozen_one_se,0.5,455,all target parcels,0.7509390708908974,0.31007063249444716,0.5615629562988013,0.778021978021978,27.255108107730358
