method,selected_d0,parcels,support,macro_f1,brier,nll,accuracy,mean_effective_pixels
M0_equal,0.0,455,all spatial OOF parcels,0.8853281795860902,0.18015179368360917,0.36868817578517205,0.8923076923076924,30.53846153846154
M2_linear_one_se_crossfit,,455,all spatial OOF parcels,0.8940301916587652,0.17341248838817677,0.355730894376514,0.9010989010989011,27.255108107730358
