d0,mean_brier,se_brier,n
0.5,0.03633784325533374,0.006980547127231464,791
0.75,0.03540891589372043,0.006991508502052368,791
1.0,0.03491864904748753,0.007000331523017636,791
1.5,0.03460721278304873,0.007001665146752836,791
2.0,0.0345860313985948,0.007003236564597316,791
3.0,0.03462121637837699,0.007005915733361065,791
4.0,0.03462928525448853,0.007006463494214,791
5.0,0.03462922601163404,0.0070064636471658765,791
6.0,0.03462922601163404,0.0070064636471658765,791
8.0,0.03462922601163404,0.0070064636471658765,791
10.0,0.03462922601163404,0.0070064636471658765,791
12.0,0.03462922601163404,0.0070064636471658765,791
