d0,mean_brier,se_brier,n
0.5,0.1601020145170905,0.01665558451666954,455
0.75,0.1590866109636392,0.016851612489705785,455
1.0,0.1582667750701064,0.016946354036279396,455
1.5,0.15738808427000803,0.0170169847523111,455
2.0,0.15712630635241978,0.017043486334456473,455
3.0,0.15702178356680543,0.017052480348925043,455
4.0,0.15698918194974731,0.017050500977687778,455
5.0,0.1569830465839563,0.01704943405430295,455
6.0,0.15698302015526977,0.01704943457708132,455
8.0,0.15698302015526977,0.01704943457708132,455
10.0,0.15698302015526977,0.017049434577081322,455
12.0,0.15698302015526977,0.01704943457708132,455
