scheme,training_scheme,w_ring0,w_ring1,w_ring2,total_parcels,valid_parcels,dropped_parcels,coverage,accuracy,macro_f1,macro_precision,macro_recall,balanced_accuracy,kappa,mean_confidence,mean_entropy,mean_effective_pixels
A5_hard_1px,T0_standard,0.0,1.0,1.0,231,152,79,0.658008658008658,0.9868421052631579,0.9830962688105546,0.9866666666666667,0.9803921568627452,0.9803921568627452,0.9793422125577602,0.9841355536873926,0.06446092004276849,9.30921052631579
A0_standard,T0_standard,1.0,1.0,1.0,231,231,0,1.0,0.9783549783549783,0.9742132098693079,0.9786324786324787,0.9717514124293786,0.9717514124293786,0.9666955017301038,0.9585696553840731,0.13778369628474207,20.07792207792208
A1_boundary_075,T0_standard,0.75,1.0,1.0,231,231,0,1.0,0.9783549783549783,0.9742132098693079,0.9786324786324787,0.9717514124293786,0.9717514124293786,0.9666955017301038,0.9596414742864182,0.13466442440104398,19.760916843887312
A2_boundary_050,T0_standard,0.5,1.0,1.0,231,231,0,1.0,0.9783549783549783,0.9742132098693079,0.9786324786324787,0.9717514124293786,0.9717514124293786,0.9666955017301038,0.9612420742824791,0.12986244949629658,18.295575626753383
A6_boundary_0625,T0_standard,0.625,1.0,1.0,231,231,0,1.0,0.9783549783549783,0.9742132098693079,0.9786324786324787,0.9717514124293786,0.9717514124293786,0.9666955017301038,0.9603519121855535,0.13255416077982282,19.232752826885445
A3_boundary_025,T0_standard,0.25,1.0,1.0,231,231,0,1.0,0.9783549783549783,0.9742132098693079,0.9786324786324787,0.9717514124293786,0.9717514124293786,0.9666955017301038,0.9640050444896473,0.12116496805535348,14.586162099147543
A4_gradual_050_075_100,T0_standard,0.5,0.75,1.0,231,231,0,1.0,0.9783549783549783,0.9742132098693079,0.9786324786324787,0.9717514124293786,0.9717514124293786,0.9666955017301038,0.9602794673748123,0.13269858201054324,19.197160557644153
