epoch,report,confusion_matrix,accuracy,balanced_accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,ECE,Brier,NLL,Entropy,Epistemic,Aleatoric,train_loss,train_ce_loss,train_parcel_loss,test_loss,learning_rate,time
0,"              precision    recall  f1-score   support

     class 0   0.914062  0.972973  0.942598       962
     class 1   0.792916  0.822034  0.807212       354
     class 2   0.952550  0.874728  0.911982       918

    accuracy                       0.908684      2234
   macro avg   0.886509  0.889912  0.887264      2234
weighted avg   0.910681  0.908684  0.908564      2234
","[[936   4  22]
 [ 45 291  18]
 [ 43  72 803]]",0.9086839749328559,0.8899115133744578,0.8530772990280721,0.9086839749328559,0.8872640736960555,0.9085639639337916,0.9086839749328559,0.8899115133744578,0.9086839749328559,0.9086839749328559,0.8865094821730057,0.9106810672477319,0.11621954452173924,0.16135505102324155,0.3376707117782385,0.5599149040690137,0.0,0.5599149040690137,0.49092107036231475,0.49092107036231475,0.0,0.21862364,0.00011999999999999999,0.020170819759368897
1,"              precision    recall  f1-score   support

     class 0   0.935103  0.988565  0.961091       962
     class 1   0.910405  0.889831  0.900000       354
     class 2   0.982778  0.932462  0.956959       918

    accuracy                       0.949866      2234
   macro avg   0.942762  0.936953  0.939350      2234
weighted avg   0.950780  0.949866  0.949713      2234
","[[951   1  10]
 [ 34 315   5]
 [ 32  30 856]]",0.9498657117278424,0.9369526235594696,0.9190354459379874,0.9498657117278424,0.9393502184715176,0.949712858516219,0.9498657117278424,0.9369526235594696,0.9498657117278424,0.9498657117278424,0.942762094909817,0.9507802793473645,0.02526933371752762,0.08488344320565193,0.19137969253400355,0.24527445658974545,0.0,0.24527445658974545,0.202175834848557,0.202175834848557,0.0,0.055900186,0.00017999999999999998,0.038569974899291995
2,"              precision    recall  f1-score   support

     class 0   0.956522  0.983368  0.969759       962
     class 1   0.910405  0.889831  0.900000       354
     class 2   0.972191  0.952070  0.962025       918

    accuracy                       0.955685      2234
   macro avg   0.946373  0.941756  0.943928      2234
weighted avg   0.955653  0.955685  0.955527      2234
","[[946   1  15]
 [ 29 315  10]
 [ 14  30 874]]",0.9556848701880036,0.9417560695393862,0.9284616369924427,0.9556848701880036,0.9439281381180699,0.9555270781936882,0.9556848701880036,0.9417560695393862,0.9556848701880036,0.9556848701880036,0.9463725623669612,0.9556529924744247,0.009833712463829311,0.07075181669048204,0.16195651167798775,0.1388204249761526,0.0,0.1388204249761526,0.1175952696321923,0.1175952696321923,0.0,0.022355782,0.00023999999999999998,0.05706698497136434
3,"              precision    recall  f1-score   support

     class 0   0.952859  0.987526  0.969883       962
     class 1   0.919308  0.901130  0.910128       354
     class 2   0.979775  0.949891  0.964602       918

    accuracy                       0.958371      2234
   macro avg   0.950647  0.946182  0.948204      2234
weighted avg   0.958603  0.958371  0.958244      2234
","[[950   0  12]
 [ 29 319   6]
 [ 18  28 872]]",0.9583706356311549,0.9461823328556461,0.9328019033671175,0.9583706356311549,0.9482042503627994,0.9582439251372089,0.9583706356311549,0.9461823328556461,0.9583706356311549,0.9583706356311549,0.9506474046582537,0.9586028720752724,0.017286174420617185,0.07183301297622294,0.16691483218624145,0.103106125173929,0.0,0.103106125173929,0.09082071483135223,0.09082071483135223,0.0,0.009923861,0.0003,0.07690532604853312
4,"              precision    recall  f1-score   support

     class 0   0.964103  0.977131  0.970573       962
     class 1   0.922636  0.909605  0.916074       354
     class 2   0.970330  0.961874  0.966083       918

    accuracy                       0.960161      2234
   macro avg   0.952356  0.949536  0.950910      2234
weighted avg   0.960091  0.960161  0.960092      2234
","[[940   2  20]
 [ 25 322   7]
 [ 10  25 883]]",0.9601611459265891,0.949536378416405,0.9357357104994376,0.9601611459265891,0.950910056933398,0.9600921184841038,0.9601611459265891,0.949536378416405,0.9601611459265891,0.9601611459265891,0.9523561125280323,0.9600906376656507,0.017912680277288102,0.06847899634910151,0.16120872945618545,0.0908049446813296,0.0,0.0908049446813296,0.07934280070993635,0.07934280070993635,0.0,0.01410314,0.0003,0.0957577665646871
5,"              precision    recall  f1-score   support

     class 0   0.962168  0.978170  0.970103       962
     class 1   0.941003  0.901130  0.920635       354
     class 2   0.966194  0.965142  0.965668       918

    accuracy                       0.960609      2234
   macro avg   0.956455  0.948147  0.952135      2234
weighted avg   0.960468  0.960609  0.960442      2234
","[[941   0  21]
 [ 25 319  10]
 [ 12  20 886]]",0.9606087735004476,0.9481473446245796,0.9363390140500267,0.9606087735004476,0.9521351961167687,0.9604417058862846,0.9606087735004476,0.9481473446245796,0.9606087735004476,0.9606087735004476,0.9564549167487802,0.9604684670243666,0.020525270851228888,0.06356134763798121,0.15251013470999017,0.07150997569022355,0.0,0.07150997569022355,0.06835500712012067,0.06835500712012067,0.0,0.00813958,0.0002996528771620249,0.1140370488166809
6,"              precision    recall  f1-score   support

     class 0   0.958376  0.981289  0.969697       962
     class 1   0.971963  0.881356  0.924444       354
     class 2   0.965517  0.976035  0.970748       918

    accuracy                       0.963295      2234
   macro avg   0.965285  0.946227  0.954963      2234
weighted avg   0.963463  0.963295  0.962958      2234
","[[944   0  18]
 [ 28 312  14]
 [ 13   9 896]]",0.963294538943599,0.9462265906267234,0.9404779234012467,0.963294538943599,0.9549629921460907,0.9629579589840348,0.963294538943599,0.9462265906267234,0.963294538943599,0.963294538943599,0.9652851642398357,0.9634632741035983,0.019910897872605183,0.06141491978870998,0.15448521056393655,0.07089106485904795,0.0,0.07089106485904795,0.06718165947147357,0.06718165947147357,0.0,0.010459846,0.00029861319979567375,0.132657794157664
7,"              precision    recall  f1-score   support

     class 0   0.953769  0.986486  0.969852       962
     class 1   0.932551  0.898305  0.915108       354
     class 2   0.977728  0.956427  0.966960       918

    accuracy                       0.960161      2234
   macro avg   0.954683  0.947073  0.950640      2234
weighted avg   0.960252  0.960161  0.959989      2234
","[[949   0  13]
 [ 29 318   7]
 [ 17  23 878]]",0.9601611459265891,0.9470728621609313,0.9356235154548116,0.9601611459265891,0.9506400266976648,0.9599889212318984,0.9601611459265891,0.9470728621609313,0.9601611459265891,0.9601611459265891,0.9546828163157167,0.9602521759166016,0.02086593408329197,0.0673324752153406,0.1623690416542624,0.07168551577330474,0.0,0.07168551577330474,0.06460200949215594,0.06460200949215594,0.0,0.005813056,0.00029688603310456727,0.15148936112721761
8,"              precision    recall  f1-score   support

     class 0   0.968041  0.976091  0.972050       962
     class 1   0.947522  0.918079  0.932568       354
     class 2   0.970684  0.973856  0.972268       918

    accuracy                       0.965980      2234
   macro avg   0.962082  0.956009  0.958962      2234
weighted avg   0.965876  0.965980  0.965883      2234
","[[939   2  21]
 [ 23 325   6]
 [  8  16 894]]",0.9659803043867502,0.956008927095667,0.9450664506217976,0.9659803043867502,0.9589617917855429,0.9658829564717274,0.9659803043867502,0.956008927095667,0.9659803043867502,0.9659803043867502,0.9620823806968543,0.9658757200137019,0.02258834138149419,0.0635655988650145,0.16023147736027243,0.0647550431301958,0.0,0.0647550431301958,0.05919619945142372,0.05919619945142372,0.0,0.010112866,0.0002944797916712104,0.16986048221588135
9,"              precision    recall  f1-score   support

     class 0   0.963303  0.982328  0.972723       962
     class 1   0.955621  0.912429  0.933526       354
     class 2   0.975956  0.972767  0.974359       918

    accuracy                       0.967323      2234
   macro avg   0.964960  0.955842  0.960203      2234
weighted avg   0.967285  0.967323  0.967184      2234
","[[945   2  15]
 [ 24 323   7]
 [ 12  13 893]]",0.9673231871083259,0.9558415817970488,0.9471784135061987,0.9673231871083259,0.9602025266155284,0.9671839220732849,0.9673231871083259,0.9558415817970488,0.9673231871083259,0.9673231871083259,0.9649601127405772,0.9672851644526783,0.019180348676283637,0.05762457075193561,0.145726243472324,0.059622811420363776,0.0,0.059622811420363776,0.056170243551425726,0.056170243551425726,0.0,0.005775474,0.0002914061984619919,0.18979183435440064
