d0,mean_brier,se_brier,n
0.5,0.033745820251079264,0.007031940063149604,791
0.75,0.03282032740507843,0.007070550014300364,791
1.0,0.03243442173035185,0.007095864979943803,791
1.5,0.03219841791443126,0.007104329484391479,791
2.0,0.03218291398169546,0.007106692983332922,791
3.0,0.03217209440624366,0.007106703149379328,791
4.0,0.03217157078250457,0.007106705904240834,791
5.0,0.03217154869294135,0.007106706005804656,791
6.0,0.03217154869294135,0.007106706005804656,791
8.0,0.03217154869294135,0.007106706005804656,791
10.0,0.03217154869294135,0.007106706005804656,791
12.0,0.03217154869294135,0.007106706005804656,791
