direction,model,seed,method,selected_d0,parcels,support,macro_f1,brier,nll,accuracy,mean_effective_pixels
2025_2026_to_2021_2022,XGBoost,2027,M0_equal,0.0,791,all target parcels,0.9685910639919278,0.11021045785417354,0.25171300701391464,0.9709228824273072,19.4551201011378
2025_2026_to_2021_2022,XGBoost,2027,M2_source_frozen_one_se,0.5,791,all target parcels,0.9621297785622688,0.10701144021198841,0.2454179120351369,0.9646017699115044,16.73981204954348
