direction,model,seed,method,selected_d0,parcels,support,macro_f1,brier,nll,accuracy,mean_effective_pixels
2021_2022_to_2025_2026,VanillaTransformer,2025,M0_equal,0.0,455,all target parcels,0.6697338375875881,0.38875131335813407,0.6995691145616769,0.7076923076923077,30.53846153846154
2021_2022_to_2025_2026,VanillaTransformer,2025,M2_source_frozen_one_se,0.5,455,all target parcels,0.6812294853107681,0.3823429821443017,0.6972735068472316,0.7186813186813187,27.255108107730358
