scheme,training_scheme,w_ring0,w_ring1,w_ring2,total_parcels,valid_parcels,dropped_parcels,coverage,accuracy,macro_f1,macro_precision,macro_recall,balanced_accuracy,kappa,mean_confidence,mean_entropy,mean_effective_pixels
A5_hard_1px,T0_standard,0.0,1.0,1.0,138,105,33,0.7608695652173914,0.9238095238095239,0.9140250720098333,0.9358741681790684,0.8989037532515795,0.8989037532515795,0.8756292567367486,0.9054504268938108,0.29424897822156004,21.64761904761905
A0_standard,T0_standard,1.0,1.0,1.0,138,138,0,1.0,0.8695652173913043,0.8665674603174603,0.8868572420290572,0.8568239370918299,0.8568239370918299,0.7961595273264401,0.8550138801074656,0.41257062152999885,35.21739130434783
A1_boundary_075,T0_standard,0.75,1.0,1.0,138,138,0,1.0,0.8695652173913043,0.8665674603174603,0.8868572420290572,0.8568239370918299,0.8568239370918299,0.7961595273264401,0.8570663895934397,0.4077384522758837,34.63895034597867
A2_boundary_050,T0_standard,0.5,1.0,1.0,138,138,0,1.0,0.8623188405797102,0.8569950202303144,0.8798976497981473,0.8475646778325707,0.8475646778325707,0.784746736721123,0.86039645457674,0.4001881320314611,32.26063835629089
A6_boundary_0625,T0_standard,0.625,1.0,1.0,138,138,0,1.0,0.8623188405797102,0.8569950202303144,0.8798976497981473,0.8475646778325707,0.8475646778325707,0.784746736721123,0.8585198222399423,0.40444103009517074,33.74529389362731
A3_boundary_025,T0_standard,0.25,1.0,1.0,138,138,0,1.0,0.8623188405797102,0.8569950202303144,0.8798976497981473,0.8475646778325707,0.8475646778325707,0.784746736721123,0.8664089952526521,0.3859256667750009,26.870916718672337
A4_gradual_050_075_100,T0_standard,0.5,0.75,1.0,138,138,0,1.0,0.8623188405797102,0.8569950202303144,0.8798976497981473,0.8475646778325707,0.8475646778325707,0.784746736721123,0.858230987918577,0.4045236871664711,33.173098961873855
