scheme,training_scheme,w_ring0,w_ring1,w_ring2,total_parcels,valid_parcels,dropped_parcels,coverage,accuracy,macro_f1,macro_precision,macro_recall,balanced_accuracy,kappa,mean_confidence,mean_entropy,mean_effective_pixels
A5_hard_1px,T0_standard,0.0,1.0,1.0,138,105,33,0.7608695652173914,0.8952380952380953,0.8886763469843202,0.9037524366471734,0.8796729840208103,0.8796729840208103,0.8306451612903226,0.8476237619669544,0.47109409709382755,21.64761904761905
A0_standard,T0_standard,1.0,1.0,1.0,138,138,0,1.0,0.8840579710144928,0.8799792277614858,0.8961218056962738,0.875749700119952,0.875749700119952,0.8199902168596119,0.7806019765144249,0.6004125884645776,35.21739130434783
A1_boundary_075,T0_standard,0.75,1.0,1.0,138,138,0,1.0,0.8768115942028986,0.8704566680282518,0.8897707231040565,0.8664904408606927,0.8664904408606927,0.8086616099828725,0.7840159497609587,0.5947167503744997,34.63895034597867
A2_boundary_050,T0_standard,0.5,1.0,1.0,138,138,0,1.0,0.8768115942028986,0.8704566680282518,0.8897707231040565,0.8664904408606927,0.8664904408606927,0.8086616099828725,0.7890653005214003,0.586103151016882,32.26063835629089
A6_boundary_0625,T0_standard,0.625,1.0,1.0,138,138,0,1.0,0.8768115942028986,0.8704566680282518,0.8897707231040565,0.8664904408606927,0.8664904408606927,0.8086616099828725,0.7862779004244869,0.5909126642472018,33.74529389362731
A3_boundary_025,T0_standard,0.25,1.0,1.0,138,138,0,1.0,0.8768115942028986,0.8704566680282518,0.8897707231040565,0.8664904408606927,0.8664904408606927,0.8086616099828725,0.797480723921452,0.5706853786735205,26.870916718672337
A4_gradual_050_075_100,T0_standard,0.5,0.75,1.0,138,138,0,1.0,0.8768115942028986,0.8704566680282518,0.8897707231040565,0.8664904408606927,0.8664904408606927,0.8086616099828725,0.7864444758900897,0.5905187963181944,33.173098961873855
