d0,mean_brier,se_brier,n
0.5,0.030048789988021653,0.005915531161489457,791
0.75,0.029413752870646032,0.005948276755112777,791
1.0,0.028970742595395976,0.005951950091890691,791
1.5,0.02865517370745973,0.005951495348174362,791
2.0,0.02858892377904624,0.00595153003368392,791
3.0,0.028577791151551037,0.005951992820040626,791
4.0,0.028573750447055596,0.005951992969621821,791
5.0,0.028573510664183278,0.0059519911130190605,791
6.0,0.028573510664183278,0.0059519911130190605,791
8.0,0.028573510664183278,0.0059519911130190605,791
10.0,0.028573510664183278,0.0059519911130190605,791
12.0,0.028573510664183278,0.0059519911130190605,791
