scheme,training_scheme,w_ring0,w_ring1,w_ring2,total_parcels,valid_parcels,dropped_parcels,coverage,accuracy,macro_f1,macro_precision,macro_recall,balanced_accuracy,kappa,mean_confidence,mean_entropy,mean_effective_pixels
A0_standard,T0_standard,1.0,1.0,1.0,231,231,0,1.0,0.9956709956709957,0.9948834234548519,0.9954954954954954,0.9943502824858758,0.9943502824858758,0.9933498387839705,0.9594070875379869,0.1484654235298016,20.07792207792208
A1_boundary_075,T0_standard,0.75,1.0,1.0,231,231,0,1.0,0.9956709956709957,0.9948834234548519,0.9954954954954954,0.9943502824858758,0.9943502824858758,0.9933498387839705,0.9606252879843369,0.14498446284596356,19.760916843887312
A2_boundary_050,T0_standard,0.5,1.0,1.0,231,231,0,1.0,0.9956709956709957,0.9948834234548519,0.9954954954954954,0.9943502824858758,0.9943502824858758,0.9933498387839705,0.962421130256684,0.1396248842544319,18.295575626753383
A6_boundary_0625,T0_standard,0.625,1.0,1.0,231,231,0,1.0,0.9956709956709957,0.9948834234548519,0.9954954954954954,0.9943502824858758,0.9943502824858758,0.9933498387839705,0.9614261332936423,0.1426290073157301,19.232752826885445
A3_boundary_025,T0_standard,0.25,1.0,1.0,231,231,0,1.0,0.9956709956709957,0.9948834234548519,0.9954954954954954,0.9943502824858758,0.9943502824858758,0.9933498387839705,0.9654371741649599,0.12992564609870347,14.586162099147543
A4_gradual_050_075_100,T0_standard,0.5,0.75,1.0,231,231,0,1.0,0.9956709956709957,0.9948834234548519,0.9954954954954954,0.9943502824858758,0.9943502824858758,0.9933498387839705,0.9613834468895921,0.14273213490676095,19.197160557644153
A5_hard_1px,T0_standard,0.0,1.0,1.0,231,152,79,0.658008658008658,0.993421052631579,0.991588449505052,0.9931972789115647,0.9901960784313726,0.9901960784313726,0.9896809232858113,0.9843417679825238,0.0741490702688878,9.30921052631579
