d0,mean_brier,se_brier,n
0.5,0.1899902879190005,0.014969032564416408,455
0.75,0.18761539756141918,0.015144698710853038,455
1.0,0.1861045214054146,0.015251057182063653,455
1.5,0.1846175343299808,0.015341146628297558,455
2.0,0.18410915746986597,0.015374127333836326,455
3.0,0.18388999114737953,0.01539462312014182,455
4.0,0.18385077845531936,0.015397383283569769,455
5.0,0.18385086373682513,0.015397800391066387,455
6.0,0.1838510525378839,0.015397796300673687,455
8.0,0.1838510525378839,0.015397796300673687,455
10.0,0.1838510525378839,0.015397796300673687,455
12.0,0.1838510525378839,0.015397796300673687,455
