direction,model,seed,method,selected_d0,parcels,support,macro_f1,brier,nll,accuracy,mean_effective_pixels
2025_2026_to_2021_2022,STSMamba,2027,M0_equal,0.0,791,all target parcels,0.5416810357371514,0.7417797604189027,1.2818624749822314,0.5549936788874842,19.4551201011378
2025_2026_to_2021_2022,STSMamba,2027,M2_source_frozen_one_se,0.5,791,all target parcels,0.5552925797265437,0.7373425774620148,1.27584281867872,0.5663716814159292,16.73981204954348
