d0,mean_brier,se_brier,n
0.5,0.17747460682987695,0.016671099260953257,455
0.75,0.1767594262850703,0.016818023629092474,455
1.0,0.17604580105824932,0.01689326499453229,455
1.5,0.17510393706857244,0.016949985414172974,455
2.0,0.17464954625778994,0.01697001287762975,455
3.0,0.1744109704848694,0.01698365160747548,455
4.0,0.17436715104174516,0.016984745421658395,455
5.0,0.17436716248600895,0.016985293213664404,455
6.0,0.17436713343832516,0.016985293619067632,455
8.0,0.17436713343832516,0.016985293619067636,455
10.0,0.17436713343832516,0.016985293619067636,455
12.0,0.17436713343832516,0.016985293619067632,455
