epoch,report,confusion_matrix,accuracy,balanced_accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,ECE,Brier,NLL,Entropy,Epistemic,Aleatoric,train_loss,train_ce_loss,train_parcel_loss,test_loss,learning_rate,time
0,"              precision    recall  f1-score   support

     class 0   0.830846  1.000000  0.907609       167
     class 1   0.722045  0.930041  0.812950       243
     class 2   0.970228  0.820741  0.889246       675

    accuracy                       0.872811      1085
   macro avg   0.841039  0.916927  0.869935      1085
weighted avg   0.893191  0.872811  0.874985      1085
","[[167   0   0]
 [  0 226  17]
 [ 34  87 554]]",0.8728110599078341,0.9169272976680384,0.7805105442306508,0.8728110599078341,0.8699346406049143,0.8749845025155122,0.8728110599078341,0.9169272976680384,0.8728110599078341,0.8728110599078341,0.8410393901106161,0.8931905903677401,0.05689484371292396,0.1938721588961164,0.36890628181223184,0.4651303034037302,0.0,0.4651303034037302,0.6824152544140816,0.6824152544140816,0.0,0.37624007,0.00011999999999999999,0.22585506041844686
1,"              precision    recall  f1-score   support

     class 0   0.970930  1.000000  0.985251       167
     class 1   0.936709  0.913580  0.925000       243
     class 2   0.968935  0.970370  0.969652       675

    accuracy                       0.962212      1085
   macro avg   0.958858  0.961317  0.959968      1085
weighted avg   0.962025  0.962212  0.962053      1085
","[[167   0   0]
 [  0 222  21]
 [  5  15 655]]",0.9622119815668203,0.9613168724279836,0.9299018294700683,0.9622119815668203,0.9599676156705366,0.9620525779737952,0.9622119815668203,0.9613168724279836,0.9622119815668203,0.9622119815668203,0.9588580015200789,0.9620245779636163,0.058542882733474966,0.0578314773678221,0.13340382485508245,0.29721673160705464,0.0,0.29721673160705464,0.2559708668605277,0.2559708668605277,0.0,0.13596262,0.00017999999999999998,0.4484450658162435
2,"              precision    recall  f1-score   support

     class 0   0.970930  1.000000  0.985251       167
     class 1   0.954357  0.946502  0.950413       243
     class 2   0.980655  0.976296  0.978471       675

    accuracy                       0.973272      1085
   macro avg   0.968647  0.974266  0.971378      1085
weighted avg   0.973268  0.973272  0.973230      1085
","[[167   0   0]
 [  0 230  13]
 [  5  11 659]]",0.9732718894009217,0.9742661179698217,0.9505530079926077,0.9732718894009217,0.9713782120596585,0.9732304077353416,0.9732718894009217,0.9742661179698217,0.9732718894009217,0.9732718894009217,0.9686472803119769,0.973268227480064,0.05437661204228686,0.04532270129671598,0.1118546930565524,0.2549719711272044,0.0,0.2549719711272044,0.20405186928416552,0.20405186928416552,0.0,0.14120428,0.00023999999999999998,0.6713112910588582
3,"              precision    recall  f1-score   support

     class 0   0.912568  1.000000  0.954286       167
     class 1   0.937255  0.983539  0.959839       243
     class 2   0.993818  0.952593  0.972769       675

    accuracy                       0.966820      1085
   macro avg   0.947880  0.978711  0.962298      1085
weighted avg   0.968644  0.966820  0.967028      1085
","[[167   0   0]
 [  0 239   4]
 [ 16  16 643]]",0.9668202764976959,0.9787105624142661,0.9397198035723655,0.9668202764976959,0.9622978680806359,0.967028053084338,0.9668202764976959,0.9787105624142661,0.9668202764976959,0.9668202764976959,0.9478802759184434,0.9686440015062091,0.04538827232755936,0.05716426066649523,0.135294324394686,0.2567826892429755,0.0,0.2567826892429755,0.1982305173419024,0.1982305173419024,0.0,0.17991911,0.0003,0.8923810601234436
4,"              precision    recall  f1-score   support

     class 0   0.959770  1.000000  0.979472       167
     class 1   0.919540  0.987654  0.952381       243
     class 2   0.995385  0.958519  0.976604       675

    accuracy                       0.971429      1085
   macro avg   0.958232  0.982058  0.969486      1085
weighted avg   0.972917  0.971429  0.971620      1085
","[[167   0   0]
 [  0 240   3]
 [  7  21 647]]",0.9714285714285714,0.9820576131687243,0.9479329529376433,0.9714285714285714,0.9694856222427738,0.9716202452587227,0.9714285714285714,0.9820576131687243,0.9714285714285714,0.9714285714285714,0.9582316534040672,0.9729165902692043,0.0390225694853958,0.05201727844906819,0.12410997695342843,0.2325606900350138,0.0,0.2325606900350138,0.1895015329906815,0.1895015329906815,0.0,0.1947918,0.0003,1.1139570871988933
5,"              precision    recall  f1-score   support

     class 0   0.970930  1.000000  0.985251       167
     class 1   0.956522  0.995885  0.975806       243
     class 2   0.998485  0.976296  0.987266       675

    accuracy                       0.984332      1085
   macro avg   0.975312  0.990727  0.982774      1085
weighted avg   0.984846  0.984332  0.984389      1085
","[[167   0   0]
 [  0 242   1]
 [  5  11 659]]",0.9843317972350231,0.990727023319616,0.9712480631997032,0.9843317972350231,0.9827743688930087,0.9843892491062672,0.9843317972350231,0.990727023319616,0.9843317972350231,0.9843317972350231,0.9753122733911409,0.9848455338001638,0.0547044219562609,0.03824021963907443,0.10576204050207978,0.24487076872562827,0.0,0.24487076872562827,0.1893344582303574,0.1893344582303574,0.0,0.1575969,0.0002996528771620249,1.3343206286430358
6,"              precision    recall  f1-score   support

     class 0   0.902703  1.000000  0.948864       167
     class 1   0.967480  0.979424  0.973415       243
     class 2   0.992355  0.961481  0.976674       675

    accuracy                       0.971429      1085
   macro avg   0.954179  0.980302  0.966318      1085
weighted avg   0.972985  0.971429  0.971664      1085
","[[167   0   0]
 [  0 238   5]
 [ 18   8 649]]",0.9714285714285714,0.9803017832647463,0.947860958422079,0.9714285714285714,0.9663176534697051,0.9716637636683066,0.9714285714285714,0.9803017832647463,0.9714285714285714,0.9714285714285714,0.9541790391868709,0.9729846653163553,0.04241322574693539,0.047833508813739344,0.1176403177286167,0.23865787554668283,0.0,0.23865787554668283,0.16985610627422207,0.16985610627422207,0.0,0.12605917,0.00029861319979567375,1.5561495820681255
7,"              precision    recall  f1-score   support

     class 0   0.976608  1.000000  0.988166       167
     class 1   0.971311  0.975309  0.973306       243
     class 2   0.991045  0.983704  0.987361       675

    accuracy                       0.984332      1085
   macro avg   0.979655  0.986337  0.982944      1085
weighted avg   0.984403  0.984332  0.984337      1085
","[[167   0   0]
 [  0 237   6]
 [  4   7 664]]",0.9843317972350231,0.9863374485596706,0.9710496824803885,0.9843317972350231,0.9829440766981247,0.9843367899987369,0.9843317972350231,0.9863374485596706,0.9843317972350231,0.9843317972350231,0.979654812887914,0.9844032070568196,0.032776942389903044,0.02917204529401018,0.08077655877916703,0.18797666259899054,0.0,0.18797666259899054,0.16593111639744357,0.16593111639744357,0.0,0.10184449,0.00029688603310456727,1.777110461393992
8,"              precision    recall  f1-score   support

     class 0   0.954286  1.000000  0.976608       167
     class 1   0.959184  0.967078  0.963115       243
     class 2   0.987970  0.973333  0.980597       675

    accuracy                       0.976037      1085
   macro avg   0.967146  0.980137  0.973440      1085
weighted avg   0.976338  0.976037  0.976068      1085
","[[167   0   0]
 [  0 235   8]
 [  8  10 657]]",0.976036866359447,0.9801371742112485,0.955893619349896,0.976036866359447,0.9734399853860789,0.9760676843981478,0.976036866359447,0.9801371742112485,0.976036866359447,0.976036866359447,0.9671464375223774,0.9763382914164936,0.037308992323510634,0.036846124693040834,0.0924529631354909,0.20641439692864605,0.0,0.20641439692864605,0.1644092510013204,0.1644092510013204,0.0,0.16962488,0.0002944797916712104,1.9986206332842509
9,"              precision    recall  f1-score   support

     class 0   0.965318  1.000000  0.982353       167
     class 1   0.952381  0.987654  0.969697       243
     class 2   0.995455  0.973333  0.984270       675

    accuracy                       0.980645      1085
   macro avg   0.971051  0.986996  0.978773      1085
weighted avg   0.981169  0.980645  0.980711      1085
","[[167   0   0]
 [  0 240   3]
 [  6  12 657]]",0.9806451612903225,0.9869958847736626,0.964487108750339,0.9806451612903225,0.9787731912649296,0.9807109007232666,0.9806451612903225,0.9869958847736626,0.9806451612903225,0.9806451612903225,0.9710511389702141,0.9811691079225243,0.03760977783105518,0.03434899779298492,0.09346151916899291,0.20738181756914284,0.0,0.20738181756914284,0.1551467590034008,0.1551467590034008,0.0,0.15982933,0.0002914061984619919,2.220184071858724
