1.000000,97.000000,0.097000,0.125200,0.111800,0.231250,0.341491,0.256260,0.294151,0.054406,0.210736,-6.906619,-16.352179,0.104350,0.137400,0.123750,0.276100,0.328940,0.269713,0.268760,0.050660,0.223857,-11.925325,-17.106756,0.104350,0.137400,0.123750,0.276100,0.328940,0.269713,0.268760,0.050660,0.223857,-12.100655,-21.082495,0.104350,0.137400,0.123750,0.276100,0.328940,0.269713,0.268760,0.050660,0.223857,-11.199986,-19.337660,0.104350,0.137400,0.123750,0.276100,0.328940,0.269713,0.268760,0.050660,0.223857,-11.074471,-18.535738,0.113000,0.160050,0.139750,0.277700,0.328940,0.269713,0.268760,0.024389,0.223857,-5.873684,-16.317698,0.113000,0.160050,0.139750,0.277700,0.328940,0.269713,0.268760,0.024389,0.223857,-4.157362,-17.726347
1.000000,97.000000,0.071700,0.090700,0.090700,0.185500,0.215196,0.122523,0.307788,-0.004685,0.122376,-6.381798,-16.581030,0.080450,0.089950,0.090700,0.127200,0.167804,0.085488,0.172314,-0.004685,0.076282,-11.061878,-18.761490,0.059450,0.073300,0.069850,0.281750,0.602677,0.422110,0.587105,0.024101,0.373240,-13.316995,-20.539534,0.040950,0.056500,0.046900,0.346550,0.772426,0.568820,0.724296,0.108973,0.495279,-11.815596,-20.944675,0.042800,0.059550,0.049650,0.326700,0.744501,0.530946,0.695606,0.099429,0.475591,-12.150828,-18.134623,0.048950,0.064200,0.052400,0.323550,0.733029,0.479161,0.683485,0.085917,0.405576,-7.930058,-15.540174,0.067450,0.098200,0.087650,0.319450,0.569802,0.412755,0.529091,0.049195,0.379297,-7.458198,-18.480494
1.000000,97.000000,0.074700,0.097200,0.098700,0.187500,0.174812,0.101522,0.279916,-0.008021,0.102173,-6.151540,-16.556665,0.080800,0.097200,0.098700,0.122100,0.106019,0.052873,0.113935,-0.008021,0.048688,-11.511859,-19.514120,0.061250,0.081000,0.066400,0.278650,0.609462,0.433584,0.543999,0.100171,0.374831,-12.704142,-19.977308,0.038850,0.056600,0.040650,0.322300,0.783878,0.527726,0.711123,0.105140,0.468681,-13.254552,-20.396391,0.040650,0.058900,0.044050,0.329500,0.766434,0.538414,0.699840,0.104563,0.484034,-13.903368,-19.128349,0.046950,0.065950,0.045050,0.329500,0.759456,0.523369,0.662231,0.094008,0.453381,-11.364054,-17.470333,0.065650,0.097850,0.084250,0.312250,0.563846,0.391010,0.528613,0.049891,0.362201,-10.538945,-18.948214
1.000000,97.000000,0.094300,0.121400,0.122100,0.192300,0.178309,0.112855,0.234279,0.001544,0.105639,-8.673795,-15.811347,0.106050,0.122500,0.122100,0.164200,0.147072,0.095609,0.145555,0.001544,0.080315,-12.526846,-18.999510,0.091600,0.108350,0.097150,0.270700,0.471775,0.371914,0.428291,0.054504,0.299958,-12.577610,-18.638554,0.077050,0.100350,0.093000,0.264050,0.475287,0.333033,0.429782,0.054032,0.297101,-14.606397,-19.901608,0.077050,0.100350,0.093000,0.265400,0.475287,0.333033,0.429782,0.032221,0.297101,-14.415788,-20.065851,0.095800,0.116300,0.123600,0.262100,0.377016,0.289249,0.402824,-0.009701,0.250418,-12.101449,-17.921370,0.104650,0.129800,0.130250,0.262150,0.328483,0.242109,0.322786,-0.018947,0.212592,-11.301020,-17.935579
1.000000,97.000000,0.059700,0.075000,0.073450,0.223200,0.469052,0.308946,0.468692,0.032206,0.271136,-6.288614,-17.650038,0.052100,0.074500,0.057400,0.317600,0.680934,0.481611,0.602968,0.122449,0.427425,-10.725831,-19.381506,0.054050,0.075950,0.058800,0.300350,0.672545,0.483939,0.596315,0.127362,0.421721,-12.697497,-17.725603,0.048850,0.067000,0.051100,0.331150,0.740074,0.551156,0.672757,0.141743,0.488253,-12.123159,-19.060833,0.044450,0.062650,0.044650,0.331500,0.761183,0.557746,0.683614,0.158921,0.496440,-14.167519,-17.088619,0.045700,0.067000,0.051100,0.328900,0.740074,0.540672,0.672757,0.135930,0.479222,-10.327381,-16.334354,0.045900,0.077900,0.062400,0.317600,0.634981,0.460163,0.564074,0.115836,0.395218,-11.867429,-16.403082
1.000000,97.000000,0.071300,0.083450,0.083800,0.199700,0.214710,0.127852,0.342560,-0.016073,0.127772,-6.539367,-17.477989,0.075350,0.081300,0.083800,0.114800,0.156458,0.073698,0.172036,-0.016073,0.066574,-13.003253,-20.269701,0.051600,0.074450,0.057600,0.299200,0.677106,0.475944,0.601480,0.127586,0.422962,-13.814774,-18.735453,0.034950,0.052550,0.039750,0.309950,0.811069,0.526004,0.736421,0.174859,0.456499,-12.435748,-19.226986,0.036200,0.054650,0.040350,0.340050,0.790371,0.559809,0.730615,0.155112,0.508801,-14.709789,-17.766850,0.032400,0.053100,0.039800,0.341000,0.795778,0.568854,0.730704,0.146086,0.508856,-11.734556,-17.856974,0.041000,0.068000,0.055300,0.339500,0.693629,0.475438,0.646204,0.085950,0.436237,-12.590739,-17.930292
1.000000,97.000000,0.075200,0.091550,0.093750,0.187500,0.173346,0.105078,0.276405,-0.012450,0.101392,-7.847545,-15.948956,0.075200,0.091550,0.093750,0.107000,0.065856,0.030086,0.078239,-0.012450,0.028332,-10.469528,-19.695946,0.051550,0.075300,0.057600,0.298950,0.676885,0.479661,0.597583,0.133175,0.422649,-12.237636,-17.648983,0.035650,0.057350,0.042300,0.309750,0.739797,0.489639,0.696110,0.133175,0.457415,-13.051185,-18.274176,0.039950,0.062150,0.046300,0.333750,0.747469,0.536877,0.670408,0.133175,0.478875,-14.741744,-18.474636,0.039600,0.068950,0.048800,0.335950,0.731831,0.511186,0.664065,0.098393,0.471348,-12.351201,-18.720806,0.051350,0.078050,0.070150,0.333750,0.610320,0.411264,0.608980,0.041271,0.386845,-12.845311,-19.510668
1.000000,97.000000,0.094600,0.114800,0.122100,0.176400,0.170149,0.102343,0.217823,-0.020925,0.096008,-8.296885,-14.957963,0.105900,0.111300,0.116000,0.157200,0.150852,0.097308,0.171216,-0.020925,0.079932,-11.570704,-19.209366,0.089200,0.110850,0.096000,0.275950,0.483782,0.380292,0.426819,0.071795,0.309558,-10.302020,-16.799986,0.077750,0.103400,0.096000,0.279400,0.487274,0.373901,0.480732,0.043786,0.323215,-13.600164,-18.210566,0.085200,0.110650,0.100550,0.282000,0.482833,0.368319,0.454103,0.025698,0.309558,-13.242939,-17.877007,0.094900,0.121200,0.129200,0.283200,0.347094,0.281454,0.380501,-0.041791,0.238144,-11.969998,-18.327209,0.109550,0.127050,0.133700,0.274400,0.278469,0.201971,0.323469,-0.050299,0.184165,-12.719214,-18.897829
1.000000,97.000000,0.061000,0.079100,0.081950,0.157300,0.230641,0.115103,0.305698,0.014749,0.117022,-5.490211,-16.004843,0.073900,0.084500,0.081950,0.122700,0.199672,0.096133,0.185420,0.014749,0.086778,-11.900711,-18.374620,0.049050,0.074800,0.052550,0.349100,0.738298,0.571824,0.646863,0.166213,0.493333,-12.171754,-19.122021,0.037150,0.058400,0.035650,0.360850,0.840644,0.602033,0.751650,0.230367,0.524454,-13.807625,-20.274532,0.037100,0.057600,0.037000,0.370800,0.819071,0.610089,0.751502,0.175385,0.546144,-14.954916,-19.495998,0.034600,0.057900,0.039400,0.364500,0.807899,0.607986,0.751469,0.151988,0.527987,-10.992243,-17.433435,0.048200,0.070600,0.051600,0.352800,0.739407,0.521002,0.667865,0.130435,0.477211,-12.856013,-17.243921
1.000000,97.000000,0.065500,0.081600,0.084200,0.173200,0.233640,0.128279,0.326899,0.003483,0.126027,-5.640909,-16.354555,0.072300,0.084900,0.084200,0.114000,0.150707,0.069242,0.147266,0.003483,0.064034,-12.106349,-19.233339,0.048750,0.073650,0.053000,0.333100,0.725429,0.544743,0.637834,0.163045,0.474146,-11.730382,-19.644882,0.038800,0.061100,0.040550,0.353750,0.807597,0.596458,0.721724,0.193212,0.524880,-14.127012,-20.136448,0.035900,0.055700,0.039900,0.355000,0.805726,0.600633,0.739045,0.169514,0.533094,-14.332500,-18.391062,0.033700,0.055700,0.039900,0.353200,0.805726,0.594992,0.739045,0.166287,0.530521,-10.992243,-18.163921,0.037400,0.072100,0.056000,0.352500,0.701174,0.489590,0.639496,0.097424,0.450617,-12.491786,-17.335949
