d0,mean_brier,se_brier,n
0.5,0.1928473196908415,0.014471220270097672,455
0.75,0.19053722446467475,0.01465511528102251,455
1.0,0.1889864762238787,0.014766836233081441,455
1.5,0.18741195555261794,0.014864991828620415,455
2.0,0.18692732001570256,0.01490801016559963,455
3.0,0.18671890352941267,0.014937000782159923,455
4.0,0.18667609157111725,0.014940621970613755,455
5.0,0.18667606875087983,0.014940999116283512,455
6.0,0.1866763464694469,0.014940994049371104,455
8.0,0.18667634646944692,0.014940994049371104,455
10.0,0.18667634646944692,0.014940994049371104,455
12.0,0.1866763464694469,0.014940994049371104,455
