d0,mean_brier,se_brier,n
0.5,0.024192162045584942,0.006186757790931887,791
0.75,0.023756031373708793,0.006246320801099796,791
1.0,0.02346385781175034,0.006266820444598324,791
1.5,0.023314527500315877,0.006275683158350461,791
2.0,0.023308984852965224,0.006277956757553974,791
3.0,0.023333317458364207,0.006280277201235039,791
4.0,0.02333130151445708,0.006280273123526516,791
5.0,0.023331220562049202,0.006280273173888838,791
6.0,0.023331220562049202,0.0062802731738888385,791
8.0,0.023331220562049202,0.0062802731738888385,791
10.0,0.023331220562049202,0.006280273173888838,791
12.0,0.023331220562049202,0.0062802731738888385,791
