d0,mean_brier,se_brier,n,target_fold
0.5,0.1677610571622009,0.019012628107144713,365,0
0.75,0.1667892703863631,0.01925228401781468,365,0
1.0,0.1660667058923514,0.01937380081831837,365,0
1.5,0.16523904756446695,0.01946336242765458,365,0
2.0,0.16506503449283608,0.019497706558339014,365,0
3.0,0.16498917065682495,0.019509562694248805,365,0
4.0,0.16495834875233167,0.019506914135118517,365,0
5.0,0.16495116694484227,0.01950545730161671,365,0
6.0,0.16495114952626355,0.019505457698759467,365,0
8.0,0.16495114952626352,0.019505457698759467,365,0
10.0,0.16495114952626358,0.019505457698759467,365,0
12.0,0.16495114952626355,0.019505457698759467,365,0
0.5,0.1706157798947262,0.01981243920017244,364,1
0.75,0.16970298643105236,0.020053256981407627,364,1
1.0,0.1689350606561652,0.02017308180014129,364,1
1.5,0.16813798417044568,0.02026254274704493,364,1
2.0,0.16783924606131062,0.020295013923334392,364,1
3.0,0.16769632096219614,0.020305262754999977,364,1
4.0,0.1676706590337074,0.020302585158317364,364,1
5.0,0.16766353113545626,0.02030120519562167,364,1
6.0,0.1676634980995981,0.02030120592988158,364,1
8.0,0.1676634980995981,0.020301205929881584,364,1
10.0,0.1676634980995981,0.020301205929881584,364,1
12.0,0.1676634980995981,0.02030120592988158,364,1
0.5,0.15901983976242953,0.01788327950959105,384,2
0.75,0.1580557209533113,0.018067977958558246,384,2
1.0,0.1571976874510545,0.01815833336485195,384,2
1.5,0.15627716171863118,0.01823626961992587,384,2
2.0,0.1560033218868887,0.018263517877219287,384,2
3.0,0.15587964361140252,0.018270157359781432,384,2
4.0,0.155841604010833,0.018267422820429306,384,2
5.0,0.1558343424242439,0.01826602272371436,384,2
6.0,0.15583431110900337,0.018266023403935756,384,2
8.0,0.15583431110900337,0.018266023403935756,384,2
10.0,0.1558343111090034,0.018266023403935756,384,2
12.0,0.15583431110900337,0.018266023403935756,384,2
0.5,0.14001011861368118,0.01733182828650059,365,3
0.75,0.1387331906428742,0.017487044143242415,365,3
1.0,0.13795056428592098,0.01757291050449552,365,3
1.5,0.13713987135206265,0.01762625872547242,365,3
2.0,0.13685283815777533,0.017643635037089437,365,3
3.0,0.13676692612619823,0.01765481667101151,365,3
4.0,0.1367401919993802,0.017655034628640622,365,3
5.0,0.13673917717648298,0.017655036100152077,365,3
6.0,0.13673916164971275,0.017655036419003237,365,3
8.0,0.13673916164971275,0.017655036419003237,365,3
10.0,0.13673916164971275,0.017655036419003237,365,3
12.0,0.13673916164971275,0.017655036419003237,365,3
0.5,0.1633959792761826,0.019014788344579148,342,4
0.75,0.16244634436016697,0.01929252509138755,342,4
1.0,0.161470622668056,0.019404173018774194,342,4
1.5,0.16042500476282068,0.019487022859251444,342,4
2.0,0.160149394365639,0.01952346424495157,342,4
3.0,0.16005680347591963,0.019534268724957633,342,4
4.0,0.1600147600752512,0.019531202277180523,342,4
5.0,0.1600065975271959,0.019529556178190466,342,4
6.0,0.16000656236622404,0.019529557002545987,342,4
8.0,0.16000656236622404,0.019529557002545987,342,4
10.0,0.16000656236622404,0.019529557002545987,342,4
12.0,0.16000656236622404,0.019529557002545987,342,4
