direction,model,seed,method,selected_d0,parcels,support,macro_f1,brier,nll,accuracy,mean_effective_pixels
2021_2022_to_2025_2026,LSTM,2026,M0_equal,0.0,455,all target parcels,0.6424789857626539,0.41595436558332166,0.7386929543301756,0.6923076923076923,30.53846153846154
2021_2022_to_2025_2026,LSTM,2026,M2_source_frozen_one_se,0.5,455,all target parcels,0.6491642434672521,0.406496528076166,0.7340249666121784,0.6989010989010989,27.255108107730358
