d0,mean_brier,se_brier,n
0.5,0.025996248430806813,0.006305739438545411,791
0.75,0.02564648827787755,0.006373139115161129,791
1.0,0.02537686457965345,0.006391775267494029,791
1.5,0.025154259959081965,0.006396033012100679,791
2.0,0.025115218755235626,0.006396865219722684,791
3.0,0.025098960451570184,0.006396799706515453,791
4.0,0.025096762162720613,0.006396792998269898,791
5.0,0.0250966796021681,0.006396793069234891,791
6.0,0.0250966796021681,0.006396793069234891,791
8.0,0.0250966796021681,0.006396793069234891,791
10.0,0.0250966796021681,0.006396793069234891,791
12.0,0.0250966796021681,0.006396793069234891,791
