method,selected_d0,parcels,support,macro_f1,brier,nll,accuracy,mean_effective_pixels
M0_equal,0.0,791,all spatial OOF parcels,0.9796522831517529,0.03845726851671235,0.101926944600443,0.9810366624525917,19.4551201011378
M2_linear_one_se_crossfit,,791,all spatial OOF parcels,0.9796522831517529,0.03566586882197662,0.09379652097321403,0.9810366624525917,16.73981204954348
