d0,mean_brier,se_brier,n
0.5,0.026962820768121946,0.006336362659830875,791
0.75,0.02640853056365288,0.006411156331972849,791
1.0,0.026114750908363068,0.006446223210997654,791
1.5,0.025843969530565624,0.006453434072272521,791
2.0,0.025777249633233933,0.006452543573445101,791
3.0,0.02575319994129408,0.00645243872641102,791
4.0,0.025750938577011964,0.006452432464562382,791
5.0,0.025750872467803124,0.00645243256918983,791
6.0,0.025750872467803124,0.00645243256918983,791
8.0,0.025750872467803124,0.00645243256918983,791
10.0,0.025750872467803124,0.00645243256918983,791
12.0,0.025750872467803124,0.00645243256918983,791
