method,selected_d0,parcels,support,macro_f1,brier,nll,accuracy,mean_effective_pixels
M0_equal,0.0,455,all spatial OOF parcels,0.8937157238374276,0.18209298109309868,0.37251975368444945,0.8989010989010989,30.53846153846154
M2_linear_one_se_crossfit,,455,all spatial OOF parcels,0.9016613764072048,0.17406543746688546,0.3568159439991086,0.9076923076923077,27.255108107730358
