d0,mean_brier,se_brier,n
0.5,0.1631486669747718,0.016676426397940997,455
0.75,0.16254089287131512,0.016804942032462005,455
1.0,0.1619370005932372,0.016875127320356672,455
1.5,0.16115435617979243,0.01691682401661215,455
2.0,0.1607415987917318,0.016923798112102886,455
3.0,0.16048194082855746,0.01692376810903686,455
4.0,0.1604482820916539,0.016922503300226724,455
5.0,0.1604487585867443,0.016922738634490436,455
6.0,0.16044871302269512,0.016922739550652252,455
8.0,0.16044871302269512,0.016922739550652252,455
10.0,0.16044871302269512,0.016922739550652252,455
12.0,0.16044871302269512,0.016922739550652252,455
