d0,mean_brier,se_brier,n
0.5,0.17406849396685373,0.016124979240230607,455
0.75,0.17345702953827077,0.01640727620181376,455
1.0,0.17237534734651913,0.016525363881541213,455
1.5,0.1709737194233745,0.016606698354553463,455
2.0,0.1705650607547023,0.01663747179848854,455
3.0,0.170336508405796,0.01664527870879107,455
4.0,0.17026480126496146,0.01664269592874232,455
5.0,0.17026298370660378,0.016642344231806078,455
6.0,0.1702630065808149,0.016642343789592767,455
8.0,0.1702630065808149,0.016642343789592767,455
10.0,0.1702630065808149,0.016642343789592767,455
12.0,0.1702630065808149,0.016642343789592767,455
