scheme,training_scheme,w_ring0,w_ring1,w_ring2,total_parcels,valid_parcels,dropped_parcels,coverage,accuracy,macro_f1,macro_precision,macro_recall,balanced_accuracy,kappa,mean_confidence,mean_entropy,mean_effective_pixels
A0_standard,T0_standard,1.0,1.0,1.0,231,231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9658788154576997,0.11483133016056114,20.07792207792208
A1_boundary_075,T0_standard,0.75,1.0,1.0,231,231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.966986252504609,0.11157673583556117,19.760916843887312
A2_boundary_050,T0_standard,0.5,1.0,1.0,231,231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9686268439151392,0.10656203652469927,18.295575626753383
A6_boundary_0625,T0_standard,0.625,1.0,1.0,231,231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96771657129031,0.10937339482980069,19.232752826885445
A3_boundary_025,T0_standard,0.25,1.0,1.0,231,231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714112800316853,0.09747833518091767,14.586162099147543
A4_gradual_050_075_100,T0_standard,0.5,0.75,1.0,231,231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9676681133213008,0.1094792584852331,19.197160557644153
A5_hard_1px,T0_standard,0.0,1.0,1.0,231,152,79,0.658008658008658,1.0,1.0,1.0,1.0,1.0,1.0,0.9892553726129487,0.041468207936624764,9.30921052631579
