d0,mean_brier,se_brier,n
0.5,0.19133310978773585,0.014650522426607653,455
0.75,0.18903299420275804,0.01484466328501103,455
1.0,0.18746042370897179,0.014966983200322075,455
1.5,0.18587326245850014,0.015071293365403571,455
2.0,0.1853289869568727,0.015107162368087155,455
3.0,0.1851478113145961,0.015131656583527503,455
4.0,0.18510788728311636,0.015133825995482818,455
5.0,0.18510618626907846,0.01513411753157205,455
6.0,0.18510607937330567,0.015134119873849073,455
8.0,0.18510607937330567,0.015134119873849076,455
10.0,0.1851060793733057,0.015134119873849076,455
12.0,0.18510607937330567,0.015134119873849073,455
