method,selected_d0,parcels,support,macro_f1,brier,nll,accuracy,mean_effective_pixels
M0_equal,0.0,455,all spatial OOF parcels,0.9073098110420386,0.16447952280713873,0.33072583636481073,0.9120879120879121,30.53846153846154
M2_linear_one_se_crossfit,,455,all spatial OOF parcels,0.9057758104124334,0.1601020145170905,0.3215668245671065,0.9120879120879121,27.255108107730358
