method,selected_d0,parcels,support,macro_f1,brier,nll,accuracy,mean_effective_pixels
M0_equal,0.0,455,all spatial OOF parcels,0.8945003213040583,0.16621170411680108,0.3295841221393534,0.9010989010989011,30.53846153846154
M2_linear_one_se_crossfit,,455,all spatial OOF parcels,0.8945370747022522,0.1631486669747718,0.32364612139999693,0.9010989010989011,27.255108107730358
