scheme,training_scheme,w_ring0,w_ring1,w_ring2,total_parcels,valid_parcels,dropped_parcels,coverage,accuracy,macro_f1,macro_precision,macro_recall,balanced_accuracy,kappa,mean_confidence,mean_entropy,mean_effective_pixels
A5_hard_1px,T0_standard,0.0,1.0,1.0,231,152,79,0.658008658008658,0.993421052631579,0.991588449505052,0.9931972789115647,0.9901960784313726,0.9901960784313726,0.9896809232858113,0.9663627357295042,0.14913888064026284,9.30921052631579
A0_standard,T0_standard,1.0,1.0,1.0,231,231,0,1.0,0.987012987012987,0.9845929384301139,0.9868421052631579,0.9830508474576272,0.9830508474576272,0.980033421689524,0.9310818402251133,0.24804684951216735,20.07792207792208
A1_boundary_075,T0_standard,0.75,1.0,1.0,231,231,0,1.0,0.987012987012987,0.9845929384301139,0.9868421052631579,0.9830508474576272,0.9830508474576272,0.980033421689524,0.932625651794378,0.24365066206971955,19.760916843887312
A2_boundary_050,T0_standard,0.5,1.0,1.0,231,231,0,1.0,0.987012987012987,0.9845929384301139,0.9868421052631579,0.9830508474576272,0.9830508474576272,0.980033421689524,0.9349015496488873,0.23688793474990025,18.295575626753383
A6_boundary_0625,T0_standard,0.625,1.0,1.0,231,231,0,1.0,0.987012987012987,0.9845929384301139,0.9868421052631579,0.9830508474576272,0.9830508474576272,0.980033421689524,0.9336407267200056,0.2406767992173465,19.232752826885445
A3_boundary_025,T0_standard,0.25,1.0,1.0,231,231,0,1.0,0.987012987012987,0.9845929384301139,0.9868421052631579,0.9830508474576272,0.9830508474576272,0.980033421689524,0.938715059840032,0.22473369614180433,14.586162099147543
A4_gradual_050_075_100,T0_standard,0.5,0.75,1.0,231,231,0,1.0,0.987012987012987,0.9845929384301139,0.9868421052631579,0.9830508474576272,0.9830508474576272,0.980033421689524,0.9335908789813167,0.24086373040321765,19.197160557644153
