method,selected_d0,parcels,support,macro_f1,brier,nll,accuracy,mean_effective_pixels
M0_equal,0.0,455,all spatial OOF parcels,0.8791557440503865,0.1751082333146235,0.34221152974450575,0.8857142857142857,30.53846153846154
M2_linear_one_se_crossfit,,455,all spatial OOF parcels,0.8865603627794094,0.17075669240153865,0.3372869025359248,0.8923076923076924,27.255108107730358
