d0,mean_brier,se_brier,n
0.5,0.18478872493510276,0.016095445139233392,455
0.75,0.18400268540614112,0.016368974805534727,455
1.0,0.18276306474489917,0.01647539128822516,455
1.5,0.18143837977160338,0.01656875314119203,455
2.0,0.18120726499853296,0.016610319774952604,455
3.0,0.181138425146756,0.016624212366831325,455
4.0,0.1810832210124674,0.016618990114660805,455
5.0,0.181079983439001,0.016618241417643814,455
6.0,0.18108004358260102,0.016618240059287186,455
8.0,0.18108004358260102,0.016618240059287186,455
10.0,0.18108004358260102,0.016618240059287186,455
12.0,0.18108004358260102,0.016618240059287186,455
