d0,mean_brier,se_brier,n
0.5,0.17649093585963493,0.01655558638024906,455
0.75,0.17525700982025064,0.016801063649520845,455
1.0,0.1741376384703051,0.01693087911218566,455
1.5,0.17273135148887453,0.017024990141230042,455
2.0,0.17220074715461653,0.017055222261021265,455
3.0,0.17194296991267702,0.017067867716237847,455
4.0,0.17190479735739553,0.017068293962506927,455
5.0,0.17190320224011874,0.017068343774267036,455
6.0,0.1719031714602864,0.017068344275229422,455
8.0,0.1719031714602864,0.017068344275229422,455
10.0,0.1719031714602864,0.017068344275229422,455
12.0,0.1719031714602864,0.017068344275229422,455
