scheme,training_scheme,w_ring0,w_ring1,w_ring2,total_parcels,valid_parcels,dropped_parcels,coverage,accuracy,macro_f1,macro_precision,macro_recall,balanced_accuracy,kappa,mean_confidence,mean_entropy,mean_effective_pixels
A0_standard,T0_standard,1.0,1.0,1.0,231,231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9531092171118135,0.1673300203231165,20.07792207792208
A1_boundary_075,T0_standard,0.75,1.0,1.0,231,231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.954388717611639,0.1636923981374543,19.760916843887312
A2_boundary_050,T0_standard,0.5,1.0,1.0,231,231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9562840135514918,0.15808766603516566,18.295575626753383
A6_boundary_0625,T0_standard,0.625,1.0,1.0,231,231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9552326005423285,0.1612293436804851,19.232752826885445
A3_boundary_025,T0_standard,0.25,1.0,1.0,231,231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.959490969331491,0.1479677203327202,14.586162099147543
A4_gradual_050_075_100,T0_standard,0.5,0.75,1.0,231,231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9551701298201347,0.16139427888001076,19.197160557644153
A5_hard_1px,T0_standard,0.0,1.0,1.0,231,152,79,0.658008658008658,1.0,1.0,1.0,1.0,1.0,1.0,0.9791297192715352,0.09133483178975271,9.30921052631579
