method,selected_d0,parcels,support,macro_f1,brier,nll,accuracy,mean_effective_pixels
M0_equal,0.0,791,all spatial OOF parcels,0.9832121543415151,0.032996026000505066,0.09124852679234388,0.9848293299620733,19.4551201011378
M2_linear_one_se_crossfit,,791,all spatial OOF parcels,0.9817243681512083,0.030984161447221315,0.08341921918748094,0.9835651074589128,16.73981204954348
